month,scenario,customers,new_customers,churned_customers,seats_per_customer,credits_per_customer,seat_revenue,credit_revenue,total_revenue,grr_mrr,nrr_mrr,start_existing_mrr,churn_mrr,expansion_mrr,end_existing_mrr,new_mrr,cogs,ai_cogs,gross_profit,gross_margin_pct,opex_rnd,opex_s_and_m,opex_g_and_a,opex_total,ebitda,ebitda_margin_pct,mrr,arr
2026-01,base,52.8,55.0,2.2,0.0,2532.4999999999995,0.0,4011.479999999999,4011.479999999999,,,0.0,0.0,0.0,0.0,4011.479999999999,1083.0995999999998,200.57399999999996,2928.380399999999,0.73,180000.0,220000.0,90000.0,490000.0,-487071.6196,-121.41943113264932,4011.479999999999,48137.75999999999
2026-02,base,103.488,55.0,4.312,0.0,2548.6253061224484,0.0,7912.564070399998,7912.564070399998,0.947680157946693,0.9724799999999998,4011.479999999999,209.87999999999965,99.48407039999893,3901.0840703999984,4011.4799999999996,2136.3922990079996,395.6282035199999,5776.171771391999,0.7300000000000001,180000.0,220000.0,90000.0,490000.0,-484223.828228608,-61.19682872964457,7912.564070399998,94950.76884479998
2026-03,base,152.14847999999998,55.0,6.33952,0.0,2564.663655569128,0.0,11706.290307182588,11706.290307182588,0.941684128394467,0.9724799999999998,7912.564070399998,461.42807039999934,243.67430718258947,7694.810307182588,4011.4799999999996,3160.698382939299,585.3145153591294,8545.591924243288,0.73,180000.0,220000.0,90000.0,490000.0,-481454.4080757567,-41.12783772160104,11706.290307182588,140475.48368619106
2026-04,base,198.86254079999998,55.0,8.285939200000001,0.0,2580.612238650582,0.0,15395.613197928918,15395.613197928918,0.9357952239812956,0.9724799999999997,11706.290307182588,751.5997471825885,429.4426379289198,11384.133197928919,4011.4799999999996,4156.815563440808,769.780659896446,11238.79763448811,0.73,180000.0,220000.0,90000.0,490000.0,-478761.2023655119,-31.097248041404214,15395.613197928918,184747.358375147
2026-05,base,244.64232038399996,55.0,9.220220416,0.0,2599.938904186214,0.0,19081.652591302485,19081.652591302485,0.9345632319949135,0.9788614716125623,15395.613197928918,1007.439169128922,681.998562502491,15070.172591302487,4011.4799999999977,5152.046199651671,954.0826295651244,13929.606391650814,0.73,180000.0,220000.0,90000.0,490000.0,-476070.3936083492,-24.949117553127685,19081.652591302485,228979.83109562984
2026-06,base,289.50650437632,55.0,10.135816007679999,0.0,2621.0592929114578,0.0,22764.411409615954,22764.411409615954,0.9303695129800181,0.9827729186393235,19081.652591302485,1328.66476307849,999.943581391959,18752.931409615954,4011.4799999999996,6146.391080596308,1138.2205704807975,16618.020329019644,0.7299999999999999,180000.0,220000.0,90000.0,490000.0,-473381.97967098036,-20.794826237897734,22764.411409615954,273172.9369153915
2026-07,base,333.47340468879355,55.0,11.033099687526398,0.0,2643.278514444981,0.0,26443.89257258112,26443.89257258112,0.9247111630906273,0.98541588310539,22764.411409615954,1713.9060579564393,1381.9072209216065,22432.41257258112,4011.4799999999996,7139.850994596904,1322.1946286290563,19304.041577984215,0.7299999999999999,180000.0,220000.0,90000.0,490000.0,-470695.95842201577,-17.799798464998542,26443.89257258112,317326.7108709734
2026-08,base,376.5609669950177,55.0,11.912437693775871,0.0,2666.243684050394,0.0,30120.098997311245,30120.098997311245,0.918248796313886,0.9873213228971628,26443.89257258112,2161.820047954796,1826.546472684924,26108.61899731125,4011.479999999996,8132.426729274035,1506.0049498655621,21987.67226803721,0.7300000000000001,180000.0,220000.0,90000.0,490000.0,-468012.3277319628,-15.538206822419184,30120.098997311245,361441.18796773494
2026-09,base,418.7867780551173,55.0,12.774188939900355,0.0,2689.7564877972186,0.0,33793.03359832337,33793.03359832337,0.9113186632150215,0.9887601498581363,30120.098997311245,2671.0906431774492,2332.5452441895723,29781.553598323368,4011.4799999999996,9124.11907154731,1689.6516799161682,24668.914526776058,0.73,180000.0,220000.0,90000.0,490000.0,-465331.08547322394,-13.770029971393608,33793.03359832337,405516.4031798804
2026-10,base,460.1680728940149,55.0,13.618705161102348,0.0,2713.696834864141,0.0,37462.699287540585,37462.699287540585,0.9041095815845008,0.9898850658142826,33793.03359832337,3240.4281312722487,2898.6138204894705,33451.21928754059,4011.479999999996,10114.928807635959,1873.134964377029,27347.770479904626,0.73,180000.0,220000.0,90000.0,490000.0,-462652.2295200954,-12.349676833723649,37462.699287540585,449552.391450487
